Which of the following do you use?,"Where are you likely to consume/receive content related to work? (i.e. professional advice, blogs, learning & development etc.)","If a friend sends you a post, what is most likely to PREVENT you from sharing it with others?",What kind of content do you usually share?,Where are you likely to share professional/work related content?,Your Country,State( if applicable),City
Whatsapp;Slack;Google+;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Jokes;Youtube Videos;Knowledge/Blog posts/professional content,Slack;Whatsapp Groups;LinkedIn Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,LinkedIn Feed;LinkedIn Groups,I consider it spamming,Information Forwards;Knowledge/Blog posts/professional content,Whatsapp Groups;LinkedIn Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,Facebook;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups;Facebook groups;Personal Email;Official Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Groups;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;Facebook groups;Personal Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Jokes;Information Forwards;Trending entertainment articles;Photographs,Whatsapp Groups;Facebook Groups,India,Karnataka,Belgaum
Whatsapp;Slack;Google+,Links shared on whatsapp;LinkedIn Feed;LinkedIn Groups;Official Email,I consider it spamming,Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Google+;Facebook;YouTube,Official Email,Share it only to the people related to it.,Memes;Jokes;Trending entertainment articles;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Whatsapp Groups;Work Email,India,Tamil Nadu,Chennai
Whatsapp;Facebook,Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Jokes;Information Forwards;News,I don't share any content,India,Karnataka,Bengaluru
Whatsapp,LinkedIn Feed,Laziness,News,LinkedIn Groups,USA,Wisconsin,Milwaukee
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Whatsapp Groups;Facebook Groups,India,Tamil Nadu,Coimbatore 
Whatsapp;Facebook;YouTube,Facebook;Facebook groups;Personal Email;Official Email,Explicit Content,Funny Videos;Jokes;Information Forwards;News;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;Facebook Groups;Work Email;Facebook Wall;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;Medium,Facebook groups;Personal Email;Official Email,Laziness,Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Wall,India,Tamil Nadu,Chennai
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Groups;Personal Email;Official Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Memes;Jokes;Information Forwards;News,Office Communicator/Lync/Skype;Work Email,USA,Colorado,Colorado springs
Slack;Facebook;Medium;LinkedIN;YouTube,LinkedIn Feed;Facebook groups;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;LinkedIn Groups;Facebook Groups;Twitter,Australia,ACT,Canberra
Whatsapp;Slack;Medium,Slack communities;Personal Email,Laziness,Jokes;News;Knowledge/Blog posts/professional content,Slack;Work Email,UK,,London
Whatsapp;Slack;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Facebook groups;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Knowledge/Blog posts/professional content,Slack;Whatsapp Groups,Australia,Victoria,Melbourne
Whatsapp,Links shared on whatsapp,Explicit Content,Funny Videos,Whatsapp Groups,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;Medium;LinkedIN,Slack communities;Twitter,I consider it spamming,Memes;Knowledge/Blog posts/professional content,Slack;LinkedIn Groups,India,Goa,Panjim
Whatsapp;Facebook;YouTube,Links shared on whatsapp;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Information Forwards,Office Communicator/Lync/Skype;Whatsapp Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;Facebook groups;Personal Email;Official Email,"Only if it is relevant information, I share it. ",Trending entertainment articles;Youtube Videos;Knowledge/Blog posts/professional content,Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;LinkedIN;YouTube,LinkedIn Feed;Slack communities;Official Email,I consider it spamming,Funny Videos;Memes;Jokes,Slack;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Personal Email,Laziness,Funny Videos;Memes;Jokes;Information Forwards;Youtube Videos;News;Photographs,Office Communicator/Lync/Skype;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Slack;LinkedIN,Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Knowledge/Blog posts/professional content,I usually don't share this type of content;I don't share any content,India,Karnataka,Bengaluru
Whatsapp;LinkedIN,Internet,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Work Email,India,Telangana,Hyderabad
Whatsapp;Facebook;YouTube,Personal Email,Explicit Content,Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Wall,India,Karnataka,Bengaluru
Slack;Medium;Twitter,Slack communities;Personal Email;Twitter,Laziness,Knowledge/Blog posts/professional content,Slack;Twitter,USA,,Denver
Slack;Email,LinkedIn Feed;LinkedIn Groups;Slack communities;Personal Email;Official Email,Laziness,Funny Videos;Jokes;Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;LinkedIn Groups;Work Email;LinkedIn Feed;Personal Email,Bahrain,Manama,Manama
Whatsapp;Slack;Facebook;LinkedIN;YouTube;HipChat,LinkedIn Groups;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;News,Whatsapp Groups;Personal Email,USA,California,Union City
Whatsapp;Google+;Facebook;LinkedIN,Links shared on whatsapp;LinkedIn Feed;LinkedIn Groups;Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;LinkedIn Groups;Work Email;LinkedIn Feed;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;Medium;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Official Email,Laziness,Funny Videos;Memes;Jokes;News;Knowledge/Blog posts/professional content,Slack;LinkedIn Groups;Work Email,USA,California,San Diego
Whatsapp;LinkedIN,LinkedIn Groups;Official Email;Yammer,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;Knowledge/Blog posts/professional content,Yammer,USA,Massachusetts,Concord
Whatsapp;Facebook;YouTube,Links shared on whatsapp;Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Knowledge/Blog posts/professional content,Whatsapp Groups;Work Email;Personal Email,India,,Bengaluru
LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Official Email,I consider it spamming,Knowledge/Blog posts/professional content,LinkedIn Feed,Canada,,Ottawa
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;go Pocket,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Information Forwards;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;LinkedIn Feed,Germany,,Hamburg
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Official Email,I consider it spamming,Funny Videos;Memes;Jokes;Information Forwards;Youtube Videos;Photographs,Office Communicator/Lync/Skype;LinkedIn Groups;Work Email;LinkedIn Feed,India,Karnataka,Bengaluru
Whatsapp,LinkedIn Feed,Explicit Content,Funny Videos;Jokes;Information Forwards;Knowledge/Blog posts/professional content,I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email;Official Email,Laziness,Information Forwards;News;Photographs,Whatsapp Groups;Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email;Official Email,I consider it spamming,Funny Videos;Memes;Jokes;Photographs;Knowledge/Blog posts/professional content,Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Medium;LinkedIN,Slack communities;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Memes,Slack;Work Email,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;YouTube;Instagram,LinkedIn Feed;Facebook;Personal Email,I consider it spamming,Information Forwards;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Groups,India,Haryana,Gurgaon
Whatsapp;Facebook;YouTube,Links shared on whatsapp;Facebook;Facebook groups;Personal Email;Official Email,I consider it spamming,Funny Videos;Jokes;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,I usually don't share this type of content;Work Email;Personal Email,India,Gujarat,Veraval
Whatsapp;Google+;Facebook;YouTube,Personal Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Photographs,Office Communicator/Lync/Skype;Whatsapp Groups,India,Gujarat ,Ahmedabad 
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Personal Email;Official Email,Laziness,Information Forwards;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Work Email;Personal Email,India,Gujarat,Ahmedabad
Whatsapp,Personal Email,Laziness,Memes;Jokes;News,Office Communicator/Lync/Skype,India,Gujarat,Baroda
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;Personal Email;Official Email,Explicit Content,Information Forwards;News;Knowledge/Blog posts/professional content,LinkedIn Groups;Facebook Groups,India,Gujarat,Ahmedabad
Whatsapp;Facebook;Medium;LinkedIN,LinkedIn Groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Information Forwards;Trending entertainment articles,Office Communicator/Lync/Skype;LinkedIn Groups;Personal Email,India,,Ahmedabad
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;Personal Email,I consider it spamming,Youtube Videos,Whatsapp Groups;Work Email,India,Maharashtra,Mumbai
Whatsapp;Facebook;YouTube,Facebook;Personal Email,Explicit Content,Funny Videos;Information Forwards;Knowledge/Blog posts/professional content,I don't share any content;Work Email,India,Delhi,New Delhi
Whatsapp;Google+;Facebook;LinkedIN;YouTube;Instagram,Links shared on whatsapp;LinkedIn Feed;Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Photographs,Whatsapp Groups;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp,Links shared on whatsapp;LinkedIn Feed;Personal Email;Official Email,Explicit Content,Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Work Email,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Knowledge/Blog posts/professional content,Whatsapp Groups;Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;News;Knowledge/Blog posts/professional content,Whatsapp Groups,India,Karnataka,Bengaluru
Whatsapp,Official Email,Explicit Content,Funny Videos;Youtube Videos;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Groups;Facebook groups,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Jokes,Office Communicator/Lync/Skype;Work Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Facebook groups;Slack communities;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Jokes;Information Forwards;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Whatsapp Groups;LinkedIn Groups;Facebook Groups;Work Email;LinkedIn Feed,India,Karnataka,Bengaluru
Whatsapp,LinkedIn Feed,Laziness,Funny Videos;Memes,LinkedIn Groups,India,,Bengaluru
Whatsapp;Google+;Facebook;YouTube,LinkedIn Feed;LinkedIn Groups;Personal Email;Official Email,Explicit Content,Funny Videos;Memes;Information Forwards;Trending entertainment articles;Youtube Videos;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;LinkedIn Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp,Slack communities,Laziness,Nothing ,I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,Official Email,I consider it spamming,Knowledge/Blog posts/professional content,Whatsapp Groups;I usually don't share this type of content,India,Bengal,Asansol
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Memes;Youtube Videos;Knowledge/Blog posts/professional content,Whatsapp Groups;LinkedIn Groups;Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;YouTube;Instagram ,Links shared on whatsapp;Official Email,Depends on how important/relevant the post is,Funny Videos;Memes;Jokes;Information Forwards;Youtube Videos;Photographs,Office Communicator/Lync/Skype;Whatsapp Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Personal Email,Explicit Content,Funny Videos;Jokes;Information Forwards;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,LinkedIn Groups;Work Email;LinkedIn Feed,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,Official Email,I consider it spamming,Photographs,Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube;Reddit,LinkedIn Feed;LinkedIn Groups;Facebook groups;Official Email,"Depending on the content they have shared, I might share it with reasonable audience.",Memes;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,India,MP,Bhopal
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",News;Photographs;Knowledge/Blog posts/professional content,Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook,Links shared on whatsapp;LinkedIn Feed;LinkedIn Groups;Facebook groups;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Jokes;Information Forwards;Trending entertainment articles;Youtube Videos,Office Communicator/Lync/Skype;Whatsapp Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Personal Email,I consider it spamming,Memes;Jokes;Information Forwards;Knowledge/Blog posts/professional content,Whatsapp Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN,LinkedIn Feed;LinkedIn Groups,I consider it spamming,Knowledge/Blog posts/professional content,LinkedIn Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN,Links shared on whatsapp;Personal Email;Official Email,Laziness,Funny Videos;Jokes;Information Forwards;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;Facebook groups;Official Email,Explicit Content,Information Forwards;Youtube Videos;News;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Groups;Facebook Wall,India,Telangana,Hyderabad
Whatsapp;Facebook,Links shared on whatsapp;Personal Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Trending entertainment articles;News,Office Communicator/Lync/Skype,India,Karnataka,Kashipur
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Official Email,I consider it spamming,Funny Videos;Jokes;Information Forwards;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook,Links shared on whatsapp;Facebook,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Trending entertainment articles;News;Photographs,I don't share any content,India,,Bengaluru
"Whatsapp;Google+;Facebook;LinkedIN;YouTube;instagram, skype",LinkedIn Groups;Personal Email;Official Email,Explicit Content,Information Forwards;Photographs,Whatsapp Groups;Work Email,India,Karnataka,Mangalore
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Personal Email;Official Email,Laziness,Memes;Trending entertainment articles,I don't share any content,Australia ,Queensland ,Brisbane 
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email,Explicit Content,Funny Videos;News;Photographs,Personal Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;LinkedIN,Links shared on whatsapp;Facebook groups;Slack communities;Personal Email,"If I think of someone relevant, or its close to my heart i share.",Memes;Jokes;News;Photographs;Knowledge/Blog posts/professional content,Slack;Whatsapp Groups;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Official Email,I consider it spamming,Funny Videos;Jokes;Information Forwards;Youtube Videos;Photographs,LinkedIn Groups;Work Email;LinkedIn Feed,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Personal Email,I consider it spamming,Information Forwards;Youtube Videos;News,Office Communicator/Lync/Skype;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Photographs,Work Email,India,Karnataka,Shimoga
Whatsapp;Facebook;LinkedIN,"RSS feed, Reddit, Blogs","I will have to figure out who is the right audience, this is too much work so I don't do it",Jokes;Information Forwards;Trending entertainment articles;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Feed;Personal Email,Laziness,Information Forwards;Trending entertainment articles;Knowledge/Blog posts/professional content,Whatsapp Groups;LinkedIn Groups;LinkedIn Feed,India,,Siddapur
Whatsapp;Google+;Facebook;YouTube,Facebook groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards,Whatsapp Groups,India,Karnataka,Sagar
Whatsapp;Slack;Facebook;YouTube,LinkedIn Feed;Facebook,"I will have to figure out who is the right audience, this is too much work so I don't do it",Jokes;Information Forwards,Office Communicator/Lync/Skype;Whatsapp Groups;Facebook Groups,India,Karnataka,Bengaluru
Google+;Facebook;Medium;LinkedIN,LinkedIn Feed;LinkedIn Groups;Personal Email;G+,Lack of relevance to my core audience,Information Forwards;Knowledge/Blog posts/professional content,LinkedIn Groups;LinkedIn Feed;G+,USA,California,Los Angeles area
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;Slack communities,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Youtube Videos;News;Knowledge/Blog posts/professional content,I usually don't share this type of content,USA,Colorado,Centennial
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups;Facebook groups;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;Trending entertainment articles;News;Knowledge/Blog posts/professional content,I usually don't share this type of content;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Personal Email,Nothing ,Funny Videos;Jokes;Information Forwards;News;Knowledge/Blog posts/professional content,I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Facebook;Medium;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Facebook groups;Official Email,I consider it spamming,Memes;Jokes;Information Forwards,Office Communicator/Lync/Skype;Whatsapp Groups;LinkedIn Groups;Work Email;LinkedIn Feed,India,,Bengaluru
Whatsapp,Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Information Forwards;Photographs,Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Groups;Facebook groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Youtube Videos;Photographs,Whatsapp Groups;Facebook Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Personal Email,Laziness,Funny Videos;Information Forwards;Youtube Videos,Personal Email,United Arab Emirates,,Dubai
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;Personal Email,I consider it spamming,Knowledge/Blog posts/professional content,LinkedIn Groups;Work Email;Personal Email,Luxembourg,,Luxembourg
Whatsapp;Google+;Facebook,Facebook groups;Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Trending entertainment articles,Work Email,Australia,NSW,Sydney
Whatsapp;Facebook;YouTube,Links shared on whatsapp;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Memes;Jokes;Information Forwards;Trending entertainment articles;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,Canada,Ontario,Toronto
Whatsapp;Facebook;LinkedIN;YouTube,Official Email,I consider it spamming,Information Forwards;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,Canada,Ontario,Toronto
Whatsapp;Google+;LinkedIN;YouTube,Official Email,I consider it spamming,Funny Videos;Jokes;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Work Email,USA,FL,miami beach
Facebook;Medium;LinkedIN;YouTube,Facebook;LinkedIn Groups;Facebook groups;Personal Email;Official Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Information Forwards;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Facebook Groups;Work Email;Facebook Wall,Romania,,Bucharest
Whatsapp;Facebook;Medium;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Facebook groups;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Photographs,LinkedIn Groups;Facebook Groups;Work Email,USA,NY,NYC
Slack;LinkedIN,LinkedIn Feed;LinkedIn Groups;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Memes;Information Forwards;Youtube Videos;Knowledge/Blog posts/professional content,Slack;LinkedIn Groups;Work Email;LinkedIn Feed,USA,IL,Chicago area
Slack;Facebook;LinkedIN;YouTube,LinkedIn Groups;Official Email,political content ,Trending entertainment articles;News;Knowledge/Blog posts/professional content,Work Email,USA,washington,dc